Ressource;"Code Attributaire";Attributaire;"Date d'effet (attribution)";"N° décision d'attribution"
JS;HTCG;Ipefix;18/05/2017;2017-0608
JT;VAST;"Vast new telecom";22/06/2017;2017-0753
JU;KIOS;"Le kiosqueur";29/06/2017;2017-0785
JW;P1SE;"P1 security";29/06/2017;2017-0783
JX;THDT;Thdtel;13/07/2017;2017-0868
JY;CPOD;"Altitude infrastructure";13/07/2017;2017-0876
JZ;NAIT;Naitways;13/07/2017;2017-0882
K0;VASO;"VA telecom";05/10/2017;2017-1161
K1;SASY;"Sab system";12/10/2017;2017-1179
K2;LGC;Manifone;12/10/2017;2017-1188
K3;SOIS;"Solutions Informatiques Services";26/10/2017;2017-1266
K4;ABPL;"AB plus";02/11/2017;2017-1280
K6;NXRA;Nexora;07/04/2025;2025-0678
K7;MAQU;Telemaque;28/12/2017;2017-1563
K8;UBIC;Ubicentrex;28/12/2017;2017-1565
K9;GNTL;Nexera;28/12/2017;2017-1578
KA;ITPH;"Infinity telecom";25/01/2018;2018-0063
KB;MOTR;"Mobile Trading GmbH";24/03/2026;2026-0563
KC;INOX;Infinivox;29/11/2023;2025-1796
KD;APSO;"Stephie télécom";20/09/2021;2025-1722
KE;BBSI;BBS;28/09/2021;2023-1894
KF;INPC;Idline;23/04/2021;2023-0750
KG;GMBZ;"Go Mybiz France";23/12/2025;2025-2553
KH;NFFR;"Nfon France";09/07/2019;2021-1150
KI;PHGS;Phone.GS;01/08/2019;2021-1571
KJ;AKIN;"Akinea internet";08/08/2019;2021-1352
KK;TRIN;Trinaps;15/06/2022;2024-0961
KL;GCCO;"Groupe convergence.com";30/04/2020;2024-0502
KM;BERS;"Bersam telephone";03/06/2024;2024-1195
KN;TWIL;"Twilio Ireland Limited";10/11/2021;2025-1757
KO;QWLK;Qwalikom;26/07/2024;2024-1693
KP;NIMU;Voxnode;22/06/2022;2024-1211
KQ;EURS;Euristel;28/11/2023;2025-1967
KR;NNTE;MCT;07/07/2022;2024-1181
KT;ABCL;Abaclouda;12/12/2022;2024-2316
KU;TESO;Telesoft;02/06/2020;2022-1036
KV;IZAL;Izarlink;08/07/2022;2024-1091
KW;OXIL;"Oxilog France";17/06/2020;2022-1080
KX;QVLT;Qovoltis;03/07/2020;2024-1253
KY;EWAY;"Eway telecom";04/09/2023;2025-1184
KZ;FRDI;"Free dial";04/08/2020;2022-1369
L1;EASY;"GTT Communications France";20/03/2023;2025-0392
L2;LGSV;"LPG services";14/10/2025;2025-2054
L3;SFRI;"iBASIS France";16/10/2020;2022-1861
L5;ZETE;"ZE telecom";27/11/2024;2025-1965
L7;ONOF;"Onoff telecom";09/01/2023;2024-2522
L8;VOIC;"8x8 UK Limited";05/10/2023;2025-1457
L9;EONE;"Eone trade";01/02/2021;2025-2407
LA;OPTC;Optico;23/02/2021;2024-2623
LB;OCCI;Occicom;15/03/2021;2023-0283
LC;OTHD;"Orne THD";05/08/2025;2025-1600
LD;MUON;Muona;07/05/2021;2025-0314
LE;KAVE;"Kav El International";17/11/2025;2025-2309
LF;IPTB;"IP telecom Bulgaria Ltd";07/06/2021;2023-1143
LG;AZAI;"AZA Telecom";26/07/2024;2024-1691
LI;ZOOM;"Zoom voice communications Inc.";04/08/2022;2024-1555
LJ;AWSS;"AMCS LLC";26/12/2022;2024-2317
LK;SPCV;Spacinov;17/11/2022;2024-1891
LL;CMTF;"CM Telecom France";01/01/2023;2024-2318
LM;ONCN;"Onecentral BV";23/01/2023;2025-0009
LN;ENEO;E-Neolab;30/01/2023;2024-2477
LO;HETE;Hexatel;30/01/2023;2024-2446
LP;DGIS;"Destiny global infra services";05/08/2025;2025-1599
LQ;MASS;"Masselin communication";02/02/2023;2024-2740
LR;CLTL;"Cool telecom";08/02/2023;2025-0119
LT;COVE;"Sabio France";16/02/2023;2025-0001
LU;OPHO;Ophony;28/02/2023;2025-0344
LW;OVEA;OVEA;09/03/2023;2024-2843
LX;CLTE;"Cloud telecom";15/05/2025;2025-1024
LZ;DIME;"NTT France";26/05/2023;2025-0493
M1;EOLY;E-OLYMPE;18/07/2025;2025-1469
M3;4CNN;"4 connect";24/03/2025;2025-0597
ZZ;IPDI;"IP Directions";23/05/2018;2018-0605
